,variable,model,params,endog_vars,exog_vars,mape_first6,mape_first18,mape_last12,rmse_first6,rmse_last12,rmse_first18
20,ing_trib_sin_gasol_neto_(mdp)_r,ARIMA,"{'order': (4, 0, 5)}",['ing_trib_sin_gasol_neto_(mdp)_r'],"['mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.057070549946216666,0.05686882487417145,0.05748456917772598,15326.358589803647,16866.308589949913,16386.63319985113
24,ing_trib_sin_gasol_neto_(mdp)_r,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 2), 'seasonal_order': (1, 0, 1, 12)}",['ing_trib_sin_gasol_neto_(mdp)_r'],"['igae', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.05211499512624432,0.05526561074736116,0.05694862322803746,14085.014732203526,18451.37226286547,16993.46721361603
25,ing_trib_sin_gasol_neto_(mdp)_r,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}","['igae', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_sin_gasol_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']","['commodity_price_index', 'cons_price_index_us', 'ind_prod_ind_us', 'tbill_3meses_mensual', 'trade_weighted_exchange_rate', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.07749470727217911,0.06440808816461008,0.056556744346682356,19922.693185009666,17812.44942073698,18703.64705233409
23,ing_trib_sin_gasol_neto_(mdp)_r,RF,"{'criterion': 'mae', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 1234}",['ing_trib_sin_gasol_neto_(mdp)_r'],all,0.07492885742461397,0.07055708949732094,0.06617746896835898,19103.10130830875,22091.668043555983,21819.671684204775
22,ing_trib_sin_gasol_neto_(mdp)_r,GB,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 1234, 'subsample': 1.0}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all_igae_sa,0.07766624666027618,0.08044643023654206,0.0811203052109875,19327.47770949804,23233.960726889447,22040.094292750182
21,ing_trib_sin_gasol_neto_(mdp)_r,DT,"{'criterion': 'mae', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.09561708889255331,0.12040836010191283,0.1364618301840464,24862.232293869427,38706.20237438894,34270.019875317346
32,isr_neto_(mdp)_r,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}","['isr_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.05559415473471118,0.06246301542577183,0.06765048163859218,9201.587034425167,13365.20163047436,11958.912200234248
31,isr_neto_(mdp)_r,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 3), 'seasonal_order': (1, 0, 1, 12)}",['isr_neto_(mdp)_r'],"['igae', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.05968607081102393,0.09094094726423284,0.10944587956664042,8136.128313716288,19009.21981902291,15954.453813219148
27,isr_neto_(mdp)_r,ARIMA,"{'order': (4, 0, 2)}",['isr_neto_(mdp)_r'],"['mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.08555745344555127,0.08996530053236307,0.09364273523537672,12538.97559604335,17813.42170919713,16013.682422053611
30,isr_neto_(mdp)_r,RF,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r']",all,0.07435108515153362,0.09553407797034469,0.10904435249949904,11513.000656612938,24025.598098610964,20383.985901069664
29,isr_neto_(mdp)_r,GB,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 1234, 'subsample': 1.0}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all_igae_sa,0.09154254557991878,0.13742880059580523,0.16645036663144647,12527.42664749111,27041.27857888965,22716.58080269395
28,isr_neto_(mdp)_r,DT,"{'criterion': 'mae', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.12459380916823086,0.13156438255986064,0.13982782093420223,18019.584228002033,29244.75272969102,25647.05259327071
37,iva_neto_(mdp)_r,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 1), 'seasonal_order': (1, 0, 1, 12)}",['iva_neto_(mdp)_r'],"['igae', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.12984938549406635,0.10527078500122217,0.09198731537116585,10065.172784288367,8413.279126877822,9034.53192949851
38,iva_neto_(mdp)_r,VAR,"{'ic': 'fpe', 'maxlags': 12, 'trend': 'c'}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r']","['igae', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.13452031804071615,0.10992703142369914,0.09721371428267327,10352.803494066717,8874.398017362291,9461.397593312482
33,iva_neto_(mdp)_r,ARIMA,"{'order': (4, 0, 4)}",['iva_neto_(mdp)_r'],"['mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.13363523207172456,0.11780456396113202,0.11127804036932916,10728.767368110652,10246.506450394623,10404.696843058393
36,iva_neto_(mdp)_r,RF,"{'criterion': 'mae', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.1345154714388512,0.11669469654202203,0.10664087587757082,10910.504167366398,10063.646834830173,10448.987180276892
35,iva_neto_(mdp)_r,GB,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'random_state': 1234, 'subsample': 1.0}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.14743463875086454,0.12290838582554253,0.11114980464086324,11640.147424282102,10043.411955868634,10667.786928837015
34,iva_neto_(mdp)_r,DT,"{'criterion': 'friedman_mse', 'max_depth': 1, 'max_features': None, 'min_samples_split': 10, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.1334220741605758,0.1290418745684145,0.12436773753914333,10797.96972967629,12240.749319341438,12007.964350656383
